"name","region","type"
"The Legend of Zelda - Oracle of Seasons / Oracle of Ages - Foil Cover","United States","Strategy Guides"
"The Legend of Zelda - Oracle of Seasons / Oracle of Ages - Perfect Guide","United States","Strategy Guides"
"Fruits Basket - 02  Collector's Edition","United States","Manga"
"Halo - Point of Light","United States","Novels"
"Halo - Silent Storm","United States","Novels"
"Halo - The Rubicon Protocol","United States","Novels"
"Halo - Shadows of Reach","United States","Novels"
"Darling, You Drive me Mad...","United States","Manga"
"Summer Love Geek Girl - What brings you to Japan?","United States","Manga"
"Lovely","United States","Manga"
"Stardust Traffic - 01","United States","Manga"
"Porno Switch","United States","Manga"
"The Nude Bach Field Trip!!","United States","Manga"
"The Pink Album","United States","Manga"
"Azato Making+","United States","Manga"
"Halo Mortal Dictata","United States","Novels"
"Pretty Guardian Sailor Moon - 06 - Naoko Takeuchi Collection","United States","Manga"
"A King's Lesson","United States","Manga"
"Berserk of Gluttony - 01","United States","Manga"
"We Started a Threesome!!","United States","Manga"
"Spoof on Titan - 02","United States","Manga"
"Spoof on Titan - 01","United States","Manga"
"Sexiled - My Sexist Party Leader Kicked Me Out, So I Teamed Up with a Mystical Sorceress!","United States","Novels"
"Halo Divine Wind","United States","Novels"
"Pretty Guardian Sailor Moon - 05 - Naoko Takeuchi Collection","United States","Manga"
"I Married My Best Friend to Shut My Parents Up","United States","Manga"
